Date,Open,High,Low,Close*,Adj Close**,Volume
04/29/22,107.65,109.77,107.65,109.34,109.34,55
04/28/22,104.76,107.93,103.3,107.59,107.59,8567
04/27/22,105.37,106.35,103.27,105.32,105.32,8064
04/26/22,102.57,106.15,101.12,104.99,104.99,13279
04/25/22,105.74,105.95,99.47,102.32,102.32,15464
04/22/22,108.64,108.73,105.53,106.65,106.65,11040
04/21/22,107.01,109.79,106.78,108.33,108.33,13203
04/20/22,107.72,108.98,104.67,106.8,106.8,15985
04/19/22,112.65,114.05,106.77,107.25,107.25,18972
04/18/22,111.89,114.82,110.72,113.16,113.16,13187
04/14/22,108.37,112.39,106.64,111.7,111.7,17418
04/13/22,104.98,109,104.07,108.78,108.78,22260
04/12/22,99.25,105.6,98.98,104.64,104.64,22697
04/11/22,103.07,103.09,97.62,98.48,98.48,23852
04/08/22,101.69,103.25,99.71,102.78,102.78,16735
04/07/22,102.15,103.5,98.45,100.58,100.58,19577
04/06/22,105.79,108.66,100.54,101.07,101.07,20212
04/05/22,108.24,109.85,104.56,106.64,106.64,15613
04/04/22,104.25,108.55,102.91,107.53,107.53,18406
04/01/22,107.67,107.67,107.67,107.67,107.67,17144
03/31/22,108.71,109.36,107.37,107.91,107.91,31
03/30/22,111,114.65,110.9,113.45,113.45,4472
03/29/22,109.73,114.71,104.98,110.23,110.23,7152
03/28/22,120.31,120.31,109.06,112.48,112.48,15212
03/25/22,118.28,120.87,115.21,120.65,120.65,14026
03/24/22,121.27,123.7,116.95,119.03,119.03,12778
03/23/22,114.74,122.29,114.42,121.6,121.6,14286
03/21/22,116.85,119.42,112.77,115.48,115.48,14222
03/21/22,107.37,116.73,107.09,115.62,115.62,11620
03/18/22,107.24,109.57,105.8,107.93,107.93,10489
03/17/22,98.1,107.57,97.88,106.64,106.64,15091
03/16/22,99.04,103.68,96.95,98.02,98.02,18514
03/15/22,106,106.46,97.5,99.91,99.91,26067
03/14/22,112.9,113.04,103.45,106.9,106.9,19364
03/11/22,109.72,113.88,107.13,112.67,112.67,18819
03/10/22,112.74,118.33,108.95,109.33,109.33,30414
03/09/22,129.57,131.63,108,111.14,111.14,42740
03/08/22,124.25,133.13,121.37,127.98,127.98,38358
03/07/22,121.24,137,119.07,123.21,123.21,29504
03/04/22,110.58,118.97,109.61,118.11,118.11,34984
03/03/22,114.25,119.77,109.42,110.46,110.46,37420
03/02/22,107.54,115.05,106.49,112.93,112.93,59273
03/01/22,100.85,100.85,100.85,100.85,100.85,56428
02/28/22,100.48,104.48,99.9,100.99,100.99,448
02/25/22,99.65,101.99,96,97.93,97.93,7025
02/24/22,97.56,105.75,97.49,99.08,99.08,21282
02/23/22,96.63,98.7,95.8,96.84,96.84,33549
02/22/22,94.28,99.44,92.56,96.84,96.84,59945
02/18/22,92.98,94.15,90.26,93.54,93.54,42436
02/17/22,92.09,94.51,91.82,92.97,92.97,38045
02/16/22,93.59,96.07,91.14,94.81,94.81,45148
02/15/22,95.76,96.24,92.06,93.28,93.28,45181
02/14/22,95.31,96.78,93.46,96.48,96.48,48449
02/11/22,91.26,95.64,90.52,94.44,94.44,53045
02/10/22,91.72,93.09,90.9,91.41,91.41,43235
02/09/22,91.27,92.06,90.06,91.55,91.55,34759
02/08/22,93.01,93.01,89.93,90.78,90.78,39288
02/07/22,92.73,93.99,92.15,92.69,92.69,37016
02/04/22,91.04,93.7,90.89,93.27,93.27,33357
02/03/22,89.06,91.29,88.01,91.11,91.11,33059
02/02/22,89.29,90.51,88.28,89.47,89.47,38172
02/01/22,91.29,91.29,91.29,91.29,91.29,36248
01/31/22,90.8,91.3,90.75,91.21,91.21,118
01/28/22,89.89,91.69,89.41,90.03,90.03,10824
01/27/22,89.78,91.04,88.98,89.34,89.34,15201
01/26/22,88.02,90.48,87.8,89.96,89.96,29805
01/25/22,87.17,88.36,86.19,88.2,88.2,29496
01/24/22,87.65,88.88,85.02,86.27,86.27,34253
01/21/22,87.35,88.22,85.71,87.89,87.89,29566
01/20/22,87.73,89.51,87.03,88.38,88.38,30524
01/19/22,88.45,89.17,87.63,88.44,88.44,37483
01/18/22,86.5,88.55,85.55,87.51,87.51,45875
01/14/22,84.13,86.5,84.03,86.06,86.06,31970
01/13/22,84.78,85.09,83.79,84.47,84.47,27107
01/12/22,83.69,85.2,83.51,84.67,84.67,32298
01/11/22,80.96,83.97,80.88,83.72,83.72,37934
01/10/22,81.79,82.27,80.49,80.87,80.87,30035
01/07/22,82.06,82.99,81.44,81.75,81.75,29501
01/06/22,80.15,82.84,79.63,81.99,81.99,41582
01/05/22,80.08,81.49,79.55,80.8,80.8,35152
01/04/22,78.95,80.55,78.6,80,80,31321
01/03/22,77.94,79.28,77.04,78.98,78.98,27224
12/31/21,79.2,79.2,79.2,79.2,79.2,21740
12/30/21,79.25,79.62,78.66,79.32,79.32,476
12/29/21,79,80.16,78.14,79.23,79.23,7057
12/28/21,78.87,79.85,78.47,78.94,78.94,8523
12/27/21,76.3,79.06,75.76,78.6,78.6,15723
12/23/21,75.67,76.98,74.79,76.85,76.85,27624
12/22/21,74.04,75.69,73.59,75.29,75.29,28541
12/21/21,72.1,74.26,71.24,73.98,73.98,27386
12/20/21,73.06,73.07,69.26,71.52,71.52,36842
12/17/21,74.51,74.96,72.62,73.52,73.52,26087
12/16/21,74.57,75.59,74,75.02,75.02,26965
12/15/21,73.26,74.57,72.48,73.88,73.88,29294
12/14/21,74.3,75.15,72.57,73.7,73.7,31237
12/13/21,75.54,76.39,74.19,74.39,74.39,27562
12/10/21,74.1,75.7,73.8,75.15,75.15,24682
12/09/21,76.02,76.7,73.83,74.42,74.42,27715
12/08/21,75.27,76.37,74.4,75.82,75.82,31080
12/07/21,73.54,76.26,73.23,75.44,75.44,34533
12/06/21,70.3,73.78,70.29,73.08,73.08,32294
12/03/21,70.5,72.6,69.23,69.88,69.88,43639
12/02/21,68.81,70.71,65.77,69.67,69.67,81072
12/01/21,70.14,72.86,68.15,68.87,68.87,56808
11/30/21,74.57,74.57,70.22,70.57,70.57,77840
11/29/21,73.59,77,72.64,73.44,73.44,12507
11/26/21,82.27,82.56,72.11,72.72,72.72,29171
11/25/21,82.27,82.56,81.7,82.28,82.28,30734
11/24/21,82.2,83,81.64,82.25,82.25,30734
11/23/21,79.42,82.59,78.57,82.31,82.31,41865
11/22/21,78.67,80.09,77.54,79.7,79.7,39085
11/19/21,81.01,82.23,78.05,78.89,78.89,44180
11/18/21,80.28,81.42,79.27,81.24,81.24,30490
11/17/21,82.33,82.36,79.77,80.28,80.28,38038
11/16/21,82.11,83.14,81.55,82.43,82.43,25767
11/15/21,81.92,82.49,80.68,82.05,82.05,32804
11/12/21,82.67,82.87,81.26,82.17,82.17,27167
11/11/21,82.64,83.43,81.66,82.87,82.87,31162
11/10/21,85.16,85.5,82.09,82.64,82.64,36273
11/09/21,83.59,85.14,83.18,84.78,84.78,34996
11/08/21,82.57,83.99,82.5,83.43,83.43,27655
11/05/21,81,83.15,80.27,82.74,82.74,43130
11/04/21,81.32,84.5,80.19,80.54,80.54,72626
11/03/21,84.04,84.18,81.08,81.99,81.99,50062
11/02/21,84.42,85.22,83.76,84.72,84.72,40105
11/01/21,83.73,85.11,83.03,84.71,84.71,36245
10/29/21,84.19,84.56,84.06,84.38,84.38,35155
10/28/21,84.18,84.57,82.31,84.32,84.32,10576
10/27/21,86.13,86.27,84.05,84.58,84.58,25643
10/26/21,86.03,86.53,85.28,86.4,86.4,32042
10/25/21,85.71,86.72,85.44,85.99,85.99,43061
10/22/21,84.65,85.94,83.83,85.53,85.53,41174
10/21/21,85.88,86.12,83.36,84.61,84.61,49004
10/20/21,85.1,85.89,83.63,85.82,85.82,43107
10/19/21,84.11,85.4,83.71,85.08,85.08,45141
10/18/21,85.05,86.03,83.96,84.33,84.33,40153
10/15/21,84.2,85.1,84.17,84.86,84.86,33044
10/14/21,83.35,84.53,83.19,84,84,37348
10/13/21,83.16,83.69,82.21,83.18,83.18,39594
