Date,Open,High,Low,Close,Adj Close,Volume
2022-04-08,0.012624,0.013119,0.012447,0.012624,0.012624,0
2022-04-11,0.011752,0.012435,0.011752,0.011752,0.011752,0
2022-04-12,0.012071,0.012184,0.011683,0.011981,0.011981,0
2022-04-13,0.011718,0.012308,0.011718,0.011718,0.011718,0
2022-04-14,0.012137,0.012283,0.011967,0.012137,0.012137,0
2022-04-15,0.012108,0.012382,0.011981,0.012108,0.012108,0
2022-04-18,0.012017,0.012482,0.012017,0.012389,0.012389,0
2022-04-19,0.012332,0.012659,0.012256,0.012332,0.012332,0
2022-04-20,0.012389,0.012541,0.011831,0.012351,0.012351,0
2022-04-21,0.012086,0.012604,0.012086,0.012086,0.012086,0
2022-04-22,0.012370,0.013118,0.012329,0.012370,0.012370,0
2022-04-25,0.012930,0.013619,0.012779,0.012930,0.012930,0
2022-04-26,0.013273,0.013762,0.013172,0.013203,0.013203,0
2022-04-27,0.013164,0.013565,0.013081,0.013474,0.013474,0
2022-04-28,0.013520,0.013993,0.013311,0.013543,0.013543,0
2022-04-29,0.013752,0.014237,0.013620,0.013752,0.013752,0
2022-05-02,0.013640,0.014307,0.013640,0.013640,0.013640,0
2022-05-03,0.014171,0.015129,0.014022,0.014171,0.014171,0
2022-05-04,0.014660,0.015506,0.014611,0.014878,0.014878,0
2022-05-05,0.015873,0.015873,0.015138,0.014933,0.014933,0
2022-05-06,0.015434,0.015434,0.014636,0.015434,0.015434,0
2022-05-09,0.014500,0.014660,0.014163,0.014500,0.014500,0
2022-05-10,0.014318,0.014660,0.014277,0.014318,0.014318,0
2022-05-11,0.014318,0.015131,0.014318,0.014318,0.014318,0
2022-05-12,0.014989,0.015695,0.014904,0.014989,0.014989,0
2022-05-13,0.015305,0.015924,0.015131,0.015363,0.015363,0
2022-05-16,0.015046,0.015757,0.015046,0.015046,0.015046,0
2022-05-17,0.015482,0.015603,0.015144,0.015482,0.015482,0
2022-05-18,0.015393,0.015800,0.015369,0.015393,0.015393,0
2022-05-19,0.015573,0.016230,0.015452,0.015573,0.015573,0
2022-05-20,0.016106,0.017274,0.015757,0.016106,0.016106,0
2022-05-23,0.016009,0.017486,0.016009,0.016009,0.016009,0
2022-05-24,0.016931,0.017736,0.016931,0.017082,0.017082,0
2022-05-25,0.017252,0.017896,0.016573,0.017516,0.017516,0
2022-05-26,0.016416,0.017010,0.015393,0.016580,0.016580,0
2022-05-27,0.015470,0.015637,0.014751,0.015573,0.015573,0
2022-05-30,0.015046,0.016236,0.015040,0.015046,0.015046,0
2022-05-31,0.015634,0.016504,0.015634,0.015482,0.015482,0
2022-06-01,0.015945,0.016396,0.015627,0.015945,0.015945,0
2022-06-02,0.015757,0.016396,0.014983,0.015757,0.015757,0
2022-06-03,0.015757,0.016396,0.015626,0.015757,0.015757,0
2022-06-06,0.015757,0.016676,0.015757,0.015819,0.015819,0
2022-06-07,0.016303,0.016477,0.016041,0.016303,0.016303,0
2022-06-08,0.016204,0.016731,0.016204,0.016009,0.016009,0
2022-06-09,0.016406,0.017432,0.016404,0.016676,0.016676,0
2022-06-10,0.017252,0.017671,0.016838,0.017252,0.017252,0
2022-06-13,0.017178,0.017710,0.017178,0.009036,0.009036,0
2022-06-14,0.017327,0.017789,0.016902,0.017327,0.017327,0
2022-06-15,0.017141,0.018000,0.016995,0.017141,0.017141,0
2022-06-16,0.017478,0.017671,0.017038,0.017478,0.017478,0
2022-06-17,0.017104,0.018021,0.017104,0.017440,0.017440,0
2022-06-20,0.017632,0.018218,0.017555,0.017632,0.017632,0
2022-06-21,0.018277,0.019106,0.017948,0.018277,0.018277,0
2022-06-22,0.018574,0.018952,0.018428,0.018574,0.018574,0
2022-06-23,0.018193,0.018845,0.018193,0.018193,0.018193,0
2022-06-24,0.018360,0.018827,0.018348,0.018360,0.018360,0
2022-06-27,0.018739,0.018871,0.018462,0.018739,0.018739,0
2022-06-28,0.018836,0.018960,0.018376,0.018836,0.018836,0
2022-06-29,0.018360,0.019767,0.018360,0.018617,0.018617,0
2022-06-30,0.019244,0.019244,0.018193,0.019060,0.019060,0
2022-07-01,0.018235,0.019421,0.017763,0.018235,0.018235,0
